Project ID,Strategy Score,Risk Score,Risk - # of Vendors Contributing,Risk - Business Problem Clearly Defined,Risk - Business Processes Impacted,Risk - Impact to Key Financial Application,Risk - Level of User Change Management,Risk - Market,"Risk - New Product, Functionality or Service",Risk - Outside US or Marketing Area,Risk - Reputation or Shareholder Value Affected,Risk - Stand-Alone Project will Cost $10M,Type,Primary Support Strategy,Support for Reducing Costs,Support for Increased Productivity,Support for External Customers,Support for Internal Customers,Support for Competitive Differentiation,Mandatory?,Business Priority,Forced Rank,Risk Eval,Risk - Acceptance,Risk - Skills / Capability,Risk - Complexity,Risk - Product / Technology,Risk - Planning
WM-W40323637,61,40,Low,Low,Low,Low,Low,Med,Low,Low,Med,Low,Six Sigma Kaizen event,Support for External Customers,Moderate,Weak,Mandatory,Weak,Strong,,,,50,Med,Low,Low,Low,Low
WM-W40323638,41,80,High,Med,Med,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Competitive Differentiation,Strong,Strong,Strong,Moderate,Very Strong,,,,67,Med,Med,High,Med,Med
WM-W40909366,43,80,High,High,Low,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Increased Productivity,Strong,Very Strong,Weak,Moderate,Very Strong,Yes,,,50,Med,Low,High,Med,High
WN-C42162878,56,53,Med,Med,Med,Low,Med,Low,Low,Med,Low,Med,IT Waterfall traditional implementation,Support for External Customers,Moderate,Strong,Strong,Strong,Weak,,,,50,Low,Med,Med,Low,Med
WP-A40664699,36,43,Low,Low,Med,Med,Low,Low,Med,Low,Low,Low,Six Sigma Kaizen event,Support for Increased Productivity,Weak,Very Strong,Strong,Strong,Moderate,No,,,50,Low,Med,Low,Med,Low
WP-C40770288,27,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,IT Waterfall traditional implementation,Support for External Customers,Moderate,Weak,Moderate,Moderate,Moderate,,,,33,Low,Low,Low,Low,Low
WP-C4077054,30,63,High,Med,Low,Low,High,Low,Low,High,Low,High,Six Sigma Kaizen event,Support for Internal Customers,Very Strong,Strong,Strong,Mandatory,Moderate,,,,33,Low,Low,High,Low,Med
WP-D40770713,62,47,Low,Low,Low,Med,Low,Med,Med,Low,Med,Low,IT Waterfall traditional implementation,Support for Reducing Costs,Very Strong,Moderate,Strong,Weak,Moderate,No,,,50,Med,Low,Low,Med,Low
WP-D40923141,50,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,IT Waterfall traditional implementation,Support for External Customers,Weak,Weak,Moderate,Moderate,Moderate,No,,,33,Low,Low,Low,Low,Low
WP-E40756284,87,77,High,High,Med,Low,High,Med,Low,High,Med,High,IT Waterfall traditional implementation,Support for External Customers,Strong,Moderate,Strong,Weak,Moderate,,,,67,Med,Med,High,Low,High
WP-E40770290,42,77,Med,Med,Low,High,Med,High,High,Med,High,Med,Six Sigma Kaizen event,Support for Competitive Differentiation,Strong,Moderate,Strong,Strong,Very Strong,,,,67,High,Low,Med,High,Med
WP-F40725703,31,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Six Sigma Kaizen event,Support for Reducing Costs,Strong,Moderate,Moderate,Weak,Moderate,No,,,33,Low,Low,Low,Low,Low
WP-L4077053,71,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Six Sigma Kaizen event,Support for Reducing Costs,Strong,Moderate,Moderate,Weak,Moderate,No,,,33,Low,Low,Low,Low,Low
WP-P39644231,90,80,High,High,Low,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Increased Productivity,Strong,Very Strong,Weak,Moderate,Very Strong,Yes,,,50,Med,Low,High,Med,High
WP-P39661232,40,30,-,High,-,-,-,High,-,-,High,-,Six Sigma Kaizen event,Support for Reducing Costs,Very Strong,Strong,Moderate,Strong,Weak,No,,,50,High,-,-,-,High
WP-R40770714,92,80,High,Med,Med,Med,High,Med,Med,High,Med,High,Six Sigma Kaizen event,Support for Internal Customers,Weak,Weak,Weak,Strong,Weak,Yes,,,67,Med,Med,High,Med,Med
WR-A40613692,54,67,Med,Med,Med,Low,Med,High,Low,Med,High,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Mandatory,Mandatory,Very Strong,Very Strong,,,,83,High,Med,Med,Low,Med
WR-B40452650,70,30,-,High,-,-,-,High,-,-,High,-,Six Sigma Kaizen event,Support for Reducing Costs,Very Strong,Strong,Moderate,Strong,Weak,No,,,50,High,-,-,-,High
WR-B4060335,63,40,Low,Low,Low,Low,Low,Med,Low,Low,Med,Low,Six Sigma Kaizen event,Support for External Customers,Moderate,Weak,Mandatory,Weak,Strong,,,,50,Med,Low,Low,Low,Low
WR-B40603689,55,80,High,Med,Med,Med,High,Med,Med,High,Med,High,Six Sigma Kaizen event,Support for Internal Customers,Weak,Weak,Weak,Strong,Weak,Yes,,,67,Med,Med,High,Med,Med
WR-B40648697,72,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,IT Waterfall traditional implementation,Support for Reducing Costs,Very Strong,Weak,Moderate,Strong,Very Strong,,,,33,Low,Low,Low,Low,Low
WR-B40969460,56,80,High,High,Low,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Increased Productivity,Strong,Very Strong,Weak,Moderate,Very Strong,Yes,,,50,Med,Low,High,Med,High
WR-C4046913,52,50,Low,Med,High,Med,Low,Low,Med,Low,Low,Low,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Moderate,Mandatory,Strong,Weak,No,,,67,Low,High,Low,Med,Med
WR-C40848311,32,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,IT Waterfall traditional implementation,Support for Reducing Costs,Very Strong,Weak,Moderate,Strong,Very Strong,,,,33,Low,Low,Low,Low,Low
WR-C40909391,71,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,IT Waterfall traditional implementation,Support for External Customers,Weak,Weak,Moderate,Moderate,Moderate,No,,,33,Low,Low,Low,Low,Low
WR-C40909398,53,63,High,Med,Low,Low,High,Low,Low,High,Low,High,Six Sigma Kaizen event,Support for Internal Customers,Very Strong,Strong,Strong,Mandatory,Moderate,,,,33,Low,Low,High,Low,Med
WR-C4090983,70,77,High,High,Med,Low,High,Med,Low,High,Med,High,IT Waterfall traditional implementation,Support for External Customers,Strong,Moderate,Strong,Weak,Moderate,,,,67,Med,Med,High,Low,High
WR-C40910220,50,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Six Sigma Kaizen event,Support for Competitive Differentiation,Strong,Strong,Weak,Strong,Very Strong,No,,,33,Low,Low,Low,Low,Low
WR-D40909107,42,73,High,Low,Low,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Reducing Costs,Mandatory,Very Strong,Very Strong,Moderate,Strong,,,,50,Med,Low,High,Med,Low
WR-D40909110,89,80,High,Med,Med,Med,High,Med,Med,High,Med,High,Six Sigma Kaizen event,Support for Internal Customers,Weak,Weak,Weak,Strong,Weak,Yes,,,67,Med,Med,High,Med,Med
WR-D40909112,32,77,Med,Low,Med,High,Med,High,High,Med,High,Med,IT Waterfall traditional implementation,Support for Increased Productivity,Strong,Strong,Weak,Weak,Weak,No,,,83,High,Med,Med,High,Low
WR-D4090988,75,47,Low,Low,Low,Med,Low,Med,Med,Low,Med,Low,IT Waterfall traditional implementation,Support for Reducing Costs,Very Strong,Moderate,Strong,Weak,Moderate,No,,,50,Med,Low,Low,Med,Low
WR-E4049716,55,73,High,Med,Med,Med,High,Low,Med,High,Low,High,IT Waterfall traditional implementation,Support for Competitive Differentiation,Moderate,Weak,Strong,Strong,Very Strong,,,,50,Low,Med,High,Med,Med
WR-E40603687,61,40,Low,Low,Low,Low,Low,Med,Low,Low,Med,Low,Six Sigma Kaizen event,Support for External Customers,Moderate,Weak,Mandatory,Weak,Strong,,,,50,Med,Low,Low,Low,Low
WR-E40909119,60,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,IT Waterfall traditional implementation,Support for External Customers,Weak,Weak,Moderate,Moderate,Moderate,No,,,33,Low,Low,Low,Low,Low
WR-I40793300,36,50,Low,Med,High,Med,Low,Low,Med,Low,Low,Low,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Moderate,Mandatory,Strong,Weak,No,,,67,Low,High,Low,Med,Med
WR-I40909115,61,40,Low,Low,Low,Med,Low,Low,Med,Low,Low,Low,IT Waterfall traditional implementation,Support for Internal Customers,Moderate,Very Strong,Moderate,Mandatory,Moderate,,,,33,Low,Low,Low,Med,Low
WR-I40924820,55,77,Med,Low,Med,High,Med,High,High,Med,High,Med,IT Waterfall traditional implementation,Support for Increased Productivity,Strong,Strong,Weak,Weak,Weak,No,,,83,High,Med,Med,High,Low
WR-I41091174,78,67,High,Low,Low,Low,High,Med,Low,High,Med,High,IT Waterfall traditional implementation,Support for Competitive Differentiation,Strong,Strong,Strong,Strong,Very Strong,No,,,50,Med,Low,High,Low,Low
WR-M40777294,38,67,Med,Med,Med,Low,Med,High,Low,Med,High,Med,IT Waterfall traditional implementation,Support for Internal Customers,Strong,Strong,Strong,Very Strong,Strong,,,,83,High,Med,Med,Low,Med
WR-P40756710,62,50,Low,Med,High,Med,Low,Low,Med,Low,Low,Low,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Moderate,Mandatory,Strong,Weak,No,,,67,Low,High,Low,Med,Med
WR-P4090984,60,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,IT Waterfall traditional implementation,Support for Reducing Costs,Very Strong,Weak,Moderate,Strong,Very Strong,,,,33,Low,Low,Low,Low,Low
WR-R4048315,54,73,High,Med,Med,Med,High,Low,Med,High,Low,High,IT Waterfall traditional implementation,Support for Competitive Differentiation,Moderate,Weak,Strong,Strong,Very Strong,,,,50,Low,Med,High,Med,Med
WR-R40664273,72,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Six Sigma Kaizen event,Support for Reducing Costs,Strong,Moderate,Moderate,Weak,Moderate,No,,,33,Low,Low,Low,Low,Low
WR-R40695700,41,73,High,Med,Med,Med,High,Low,Med,High,Low,High,IT Waterfall traditional implementation,Support for Competitive Differentiation,Moderate,Weak,Strong,Strong,Very Strong,,,,50,Low,Med,High,Med,Med
WR-R4081760,70,30,-,High,-,-,-,High,-,-,High,-,Six Sigma Kaizen event,Support for Reducing Costs,Very Strong,Strong,Moderate,Strong,Weak,No,,,50,High,-,-,-,High
WR-R40909106,33,67,Med,Med,Med,Low,Med,High,Low,Med,High,Med,IT Waterfall traditional implementation,Support for Internal Customers,Strong,Strong,Strong,Very Strong,Strong,,,,83,High,Med,Med,Low,Med
WR-R40909120,55,77,Med,Med,Low,High,Med,High,High,Med,High,Med,Six Sigma Kaizen event,Support for Competitive Differentiation,Strong,Moderate,Strong,Strong,Very Strong,,,,67,High,Low,Med,High,Med
WR-R40999164,56,80,High,Med,Med,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Competitive Differentiation,Strong,Strong,Strong,Moderate,Very Strong,,,,67,Med,Med,High,Med,Med
WR-S40756709,51,40,Low,Low,Low,Low,Low,Med,Low,Low,Med,Low,Six Sigma Kaizen event,Support for External Customers,Moderate,Weak,Mandatory,Weak,Strong,,,,50,Med,Low,Low,Low,Low
WR-S41000166,41,73,High,Med,Med,Med,High,Low,Med,High,Low,High,IT Waterfall traditional implementation,Support for Competitive Differentiation,Moderate,Weak,Strong,Strong,Very Strong,,,,50,Low,Med,High,Med,Med
WR-W40616693,64,67,High,Low,Low,Low,High,Med,Low,High,Med,High,IT Waterfall traditional implementation,Support for Competitive Differentiation,Strong,Strong,Strong,Strong,Very Strong,No,,,50,Med,Low,High,Low,Low
WR-W40756708,74,40,Low,Low,Low,Low,Low,Med,Low,Low,Med,Low,Six Sigma Kaizen event,Support for External Customers,Moderate,Weak,Mandatory,Weak,Strong,,,,50,Med,Low,Low,Low,Low
WR-W40756711,71,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,IT Waterfall traditional implementation,Support for Increased Productivity,Weak,Moderate,Weak,Weak,Weak,,,,33,Low,Low,Low,Low,Low
WR-W40909786,61,43,Low,Med,Low,Low,Low,Med,Low,Low,Med,Low,Six Sigma Kaizen event,Support for Reducing Costs,Mandatory,Strong,Very Strong,Strong,Very Strong,No,,,50,Med,Low,Low,Low,Med
WS-A40909105,65,67,Med,Med,Med,Low,Med,High,Low,Med,High,Med,IT Waterfall traditional implementation,Support for Internal Customers,Strong,Strong,Strong,Very Strong,Strong,,,,83,High,Med,Med,Low,Med
WS-A40909118,76,57,Med,Low,Med,Med,Med,Low,Med,Med,Low,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Very Strong,Mandatory,Moderate,Strong,No,,,50,Low,Med,Med,Med,Low
WS-A40909794,61,40,Low,Low,Low,Med,Low,Low,Med,Low,Low,Low,IT Waterfall traditional implementation,Support for Internal Customers,Moderate,Very Strong,Moderate,Mandatory,Moderate,,,,33,Low,Low,Low,Med,Low
WS-B40558678,53,67,Med,Med,Med,Low,Med,High,Low,Med,High,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Mandatory,Mandatory,Very Strong,Very Strong,,,,83,High,Med,Med,Low,Med
WS-B40909393,81,67,Med,Med,Med,Low,Med,High,Low,Med,High,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Mandatory,Mandatory,Very Strong,Very Strong,,,,83,High,Med,Med,Low,Med
WS-B41913877,39,67,Med,Med,Med,Med,Med,Med,Med,Med,Med,Med,IT Waterfall traditional implementation,Support for Reducing Costs,Strong,Weak,Moderate,Moderate,[None],No,,,67,Med,Med,Med,Med,Med
WS-C40725282,65,67,Med,Med,Med,Med,Med,Med,Med,Med,Med,Med,IT Waterfall traditional implementation,Support for Reducing Costs,Strong,Weak,Moderate,Moderate,[None],No,,,67,Med,Med,Med,Med,Med
WS-C4078756,27,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Six Sigma Kaizen event,Support for Reducing Costs,Strong,Moderate,Moderate,Weak,Moderate,No,,,33,Low,Low,Low,Low,Low
WS-C40909108,40,70,High,Med,Low,Low,High,Med,Low,High,Med,High,Six Sigma Kaizen event,Support for Reducing Costs,Strong,Moderate,Weak,Weak,Weak,,,,50,Med,Low,High,Low,Med
WS-C40909331,36,50,Low,Med,High,Med,Low,Low,Med,Low,Low,Low,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Moderate,Mandatory,Strong,Weak,No,,,67,Low,High,Low,Med,Med
WS-C40909394,55,73,High,Low,Low,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Reducing Costs,Mandatory,Very Strong,Very Strong,Moderate,Strong,,,,50,Med,Low,High,Med,Low
WS-C40909397,36,47,Low,Low,Low,Med,Low,Med,Med,Low,Med,Low,IT Waterfall traditional implementation,Support for Reducing Costs,Very Strong,Moderate,Strong,Weak,Moderate,No,,,50,Med,Low,Low,Med,Low
WS-C40909788,60,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Six Sigma Kaizen event,Support for Competitive Differentiation,Strong,Strong,Weak,Strong,Very Strong,No,,,33,Low,Low,Low,Low,Low
WS-C41030473,73,40,Low,Low,Low,Med,Low,Low,Med,Low,Low,Low,IT Waterfall traditional implementation,Support for Internal Customers,Moderate,Very Strong,Moderate,Mandatory,Moderate,,,,33,Low,Low,Low,Med,Low
WS-D40909113,38,63,High,Med,Low,Low,High,Low,Low,High,Low,High,Six Sigma Kaizen event,Support for Internal Customers,Very Strong,Strong,Strong,Mandatory,Moderate,,,,33,Low,Low,High,Low,Med
WS-D40909114,39,67,Med,Med,Med,Low,Med,High,Low,Med,High,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Mandatory,Mandatory,Very Strong,Very Strong,,,,83,High,Med,Med,Low,Med
WS-D40909325,64,67,Med,Med,Med,Low,Med,High,Low,Med,High,Med,IT Waterfall traditional implementation,Support for Internal Customers,Strong,Strong,Strong,Very Strong,Strong,,,,83,High,Med,Med,Low,Med
WS-D40909326,54,70,High,Med,Low,Low,High,Med,Low,High,Med,High,Six Sigma Kaizen event,Support for Reducing Costs,Strong,Moderate,Weak,Weak,Weak,,,,50,Med,Low,High,Low,Med
WS-D40909327,69,77,Med,Low,Med,High,Med,High,High,Med,High,Med,IT Waterfall traditional implementation,Support for Increased Productivity,Strong,Strong,Weak,Weak,Weak,No,,,83,High,Med,Med,High,Low
WS-D40909329,53,67,Med,Med,Med,Low,Med,High,Low,Med,High,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Mandatory,Mandatory,Very Strong,Very Strong,,,,83,High,Med,Med,Low,Med
WS-D40909333,54,70,High,Med,Low,Low,High,Med,Low,High,Med,High,Six Sigma Kaizen event,Support for Reducing Costs,Strong,Moderate,Weak,Weak,Weak,,,,50,Med,Low,High,Low,Med
WS-D41183490,62,47,Low,Low,Low,Med,Low,Med,Med,Low,Med,Low,IT Waterfall traditional implementation,Support for Reducing Costs,Very Strong,Moderate,Strong,Weak,Moderate,No,,,50,Med,Low,Low,Med,Low
WS-E40514660,70,77,High,High,Med,Low,High,Med,Low,High,Med,High,IT Waterfall traditional implementation,Support for External Customers,Strong,Moderate,Strong,Weak,Moderate,,,,67,Med,Med,High,Low,High
WS-E40575681,67,73,High,Low,Low,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Reducing Costs,Mandatory,Very Strong,Very Strong,Moderate,Strong,,,,50,Med,Low,High,Med,Low
WS-E40617695,92,80,High,Med,Med,Med,High,Med,Med,High,Med,High,Six Sigma Kaizen event,Support for Internal Customers,Weak,Weak,Weak,Strong,Weak,Yes,,,67,Med,Med,High,Med,Med
WS-E40909330,45,80,High,Med,Med,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Competitive Differentiation,Strong,Strong,Strong,Moderate,Very Strong,,,,67,Med,Med,High,Med,Med
WS-E4090973,89,80,High,High,Low,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Increased Productivity,Strong,Very Strong,Weak,Moderate,Very Strong,Yes,,,50,Med,Low,High,Med,High
WS-F40909332,64,63,High,Med,Low,Low,High,Low,Low,High,Low,High,Six Sigma Kaizen event,Support for Internal Customers,Very Strong,Strong,Strong,Mandatory,Moderate,,,,33,Low,Low,High,Low,Med
WS-I40909328,88,77,High,High,Med,Low,High,Med,Low,High,Med,High,IT Waterfall traditional implementation,Support for External Customers,Strong,Moderate,Strong,Weak,Moderate,,,,67,Med,Med,High,Low,High
WS-I40909795,83,70,Med,High,Med,High,Med,Low,High,Med,Low,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Very Strong,Mandatory,Mandatory,Very Strong,,,,50,Low,Med,Med,High,High
WS-K40909792,40,70,Med,High,Med,High,Med,Low,High,Med,Low,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Very Strong,Mandatory,Mandatory,Very Strong,,,,50,Low,Med,Med,High,High
WS-L40470651,54,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,IT Waterfall traditional implementation,Support for External Customers,Moderate,Weak,Moderate,Moderate,Moderate,,,,33,Low,Low,Low,Low,Low
WS-M40909392,26,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Six Sigma Kaizen event,Support for Reducing Costs,Strong,Moderate,Moderate,Weak,Moderate,No,,,33,Low,Low,Low,Low,Low
WS-O40909793,51,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,IT Waterfall traditional implementation,Support for Competitive Differentiation,Strong,Very Strong,Moderate,Very Strong,Mandatory,,,,33,Low,Low,Low,Low,Low
WS-P40149613,86,70,Med,High,Med,High,Med,Low,High,Med,Low,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Very Strong,Mandatory,Mandatory,Very Strong,,,,50,Low,Med,Med,High,High
WS-P40634696,46,,,,,,,,,,,,,,,,,,,,,,,,,,,
WS-P40909109,76,57,Med,Low,Med,Med,Med,Low,Med,Med,Low,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Very Strong,Mandatory,Moderate,Strong,No,,,50,Low,Med,Med,Med,Low
WS-P40909789,66,70,Med,High,Med,High,Med,Low,High,Med,Low,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Very Strong,Mandatory,Mandatory,Very Strong,,,,50,Low,Med,Med,High,High
WS-R41183491,39,67,Med,Med,Med,Low,Med,High,Low,Med,High,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Mandatory,Mandatory,Very Strong,Very Strong,,,,83,High,Med,Med,Low,Med
WS-S40909116,54,70,High,Med,Low,Low,High,Med,Low,High,Med,High,Six Sigma Kaizen event,Support for Reducing Costs,Strong,Moderate,Weak,Weak,Weak,,,,50,Med,Low,High,Low,Med
WS-S40909117,33,43,Low,Med,Low,Low,Low,Med,Low,Low,Med,Low,Six Sigma Kaizen event,Support for Reducing Costs,Mandatory,Strong,Very Strong,Strong,Very Strong,No,,,50,Med,Low,Low,Low,Med
WS-S40909321,75,43,Low,Low,Med,Med,Low,Low,Med,Low,Low,Low,Six Sigma Kaizen event,Support for Increased Productivity,Weak,Very Strong,Strong,Strong,Moderate,No,,,50,Low,Med,Low,Med,Low
WS-S40909791,52,43,Low,Low,Med,Med,Low,Low,Med,Low,Low,Low,Six Sigma Kaizen event,Support for Increased Productivity,Weak,Very Strong,Strong,Strong,Moderate,No,,,50,Low,Med,Low,Med,Low
WS-T39914244,66,70,Med,High,Med,High,Med,Low,High,Med,Low,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Very Strong,Mandatory,Mandatory,Very Strong,,,,50,Low,Med,Med,High,High
WS-W40909395,37,57,Low,Med,High,Med,Low,Med,Med,Low,Med,Low,Six Sigma Kaizen event,Support for Reducing Costs,Strong,Weak,Moderate,Moderate,Weak,Yes,,,83,Med,High,Low,Med,Med
WS-W40909396,57,30,-,High,-,-,-,High,-,-,High,-,Six Sigma Kaizen event,Support for Reducing Costs,Very Strong,Strong,Moderate,Strong,Weak,No,,,50,High,-,-,-,High
